_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp,elapsed_minutes,Weighted_Temp,Doneness_Score
2026-03-17 08:42:05.097000+00:00,31.701,31.345,31.946,31.356,31.226,0.6663166666666667,31.422800000000002,0.2861546514671289
2026-03-17 08:42:05.609000+00:00,31.654,31.361,31.904,31.335,31.218,0.67485,31.404,0.2704195865197289
2026-03-17 08:42:06.121000+00:00,31.654,31.361,31.904,31.335,31.218,0.6833833333333333,31.404,0.2704195865197289
2026-03-17 08:42:06.637000+00:00,31.654,31.361,31.904,31.335,31.218,0.6919833333333333,31.404,0.2704195865197289
2026-03-17 08:42:07.152000+00:00,31.654,31.361,31.904,31.335,31.218,0.7005666666666667,31.404,0.2704195865197289
2026-03-17 08:42:07.671000+00:00,31.677,31.348,31.914,31.356,31.224,0.7092166666666666,31.4186,0.2829475398394807
2026-03-17 08:42:08.178000+00:00,31.677,31.348,31.914,31.356,31.224,0.7176666666666667,31.4186,0.2829475398394807
2026-03-17 08:42:08.751000+00:00,31.677,31.348,31.914,31.356,31.224,0.7272166666666667,31.4186,0.2829475398394807
2026-03-17 08:42:09.320000+00:00,31.677,31.348,31.914,31.356,31.224,0.7367,31.4186,0.2829475398394807
2026-03-17 08:42:09.914000+00:00,31.691,31.386,31.77,31.336,31.242,0.7466,31.416999999999998,0.25451583815701034
2026-03-17 08:42:10.425000+00:00,31.691,31.386,31.77,31.336,31.242,0.7551166666666667,31.416999999999998,0.25451583815701034
2026-03-17 08:42:10.933000+00:00,31.691,31.386,31.77,31.336,31.242,0.7635833333333333,31.416999999999998,0.25451583815701034
2026-03-17 08:42:11.449000+00:00,31.691,31.386,31.77,31.336,31.242,0.7721833333333333,31.416999999999998,0.25451583815701034
2026-03-17 08:42:11.995000+00:00,31.685,31.386,31.791,31.357,31.245,0.7812833333333333,31.4284,0.26674423678277787
