_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp
2026-03-17T08:43:43.861Z,31.554,32.277,34.238,31.32,31.128
2026-03-17T08:43:44.423Z,31.554,32.277,34.238,31.32,31.128
2026-03-17T08:43:44.935Z,31.554,32.277,34.238,31.32,31.128
2026-03-17T08:43:45.452Z,31.549,32.301,34.278,31.312,31.125
2026-03-17T08:43:45.961Z,31.549,32.301,34.278,31.312,31.125
2026-03-17T08:43:46.475Z,31.549,32.301,34.278,31.312,31.125
2026-03-17T08:43:46.985Z,31.549,32.301,34.278,31.312,31.125
2026-03-17T08:43:47.501Z,31.544,32.348,34.846,31.33,31.088
2026-03-17T08:43:48.01Z,31.544,32.348,34.846,31.33,31.088
2026-03-17T08:43:48.522Z,31.544,32.348,34.846,31.33,31.088
2026-03-17T08:43:49.099Z,31.544,32.348,34.846,31.33,31.088
2026-03-17T08:43:49.65Z,31.559,32.385,34.748,31.33,31.085
2026-03-17T08:43:50.163Z,31.559,32.385,34.748,31.33,31.085
2026-03-17T08:43:50.671Z,31.559,32.385,34.748,31.33,31.085
2026-03-17T08:43:51.181Z,31.559,32.385,34.748,31.33,31.085
2026-03-17T08:43:51.694Z,31.549,32.417,35.19,31.33,31.093
2026-03-17T08:43:52.209Z,31.549,32.417,35.19,31.33,31.093
2026-03-17T08:43:52.722Z,31.549,32.417,35.19,31.33,31.093
2026-03-17T08:43:53.234Z,31.549,32.417,35.19,31.33,31.093
2026-03-17T08:43:53.748Z,31.546,32.473,35.039,31.333,31.083
2026-03-17T08:43:54.256Z,31.546,32.473,35.039,31.333,31.083
2026-03-17T08:43:54.768Z,31.546,32.473,35.039,31.333,31.083
2026-03-17T08:43:55.279Z,31.546,32.473,35.039,31.333,31.083
2026-03-17T08:43:55.793Z,31.575,32.502,34.912,31.325,31.106
2026-03-17T08:43:56.306Z,31.575,32.502,34.912,31.325,31.106
2026-03-17T08:43:56.82Z,31.575,32.502,34.912,31.325,31.106
2026-03-17T08:43:57.386Z,31.575,32.502,34.912,31.325,31.106
2026-03-17T08:43:57.946Z,31.562,32.525,34.83,31.338,31.093
2026-03-17T08:43:58.453Z,31.562,32.525,34.83,31.338,31.093
2026-03-17T08:43:58.967Z,31.562,32.525,34.83,31.338,31.093
2026-03-17T08:43:59.482Z,31.562,32.525,34.83,31.338,31.093
2026-03-17T08:43:59.991Z,31.546,32.581,34.737,31.336,31.083
2026-03-17T08:44:00.501Z,31.546,32.581,34.737,31.336,31.083
2026-03-17T08:44:01.015Z,31.546,32.581,34.737,31.336,31.083
2026-03-17T08:44:01.525Z,31.546,32.581,34.737,31.336,31.083
2026-03-17T08:44:02.045Z,31.554,32.626,34.885,31.354,31.114
2026-03-17T08:44:02.617Z,31.554,32.626,34.885,31.354,31.114
2026-03-17T08:44:03.168Z,31.554,32.626,34.885,31.354,31.114
2026-03-17T08:44:03.675Z,31.554,32.626,34.885,31.354,31.114
2026-03-17T08:44:04.188Z,31.554,32.655,35.561,31.349,31.114
2026-03-17T08:44:04.698Z,31.554,32.655,35.561,31.349,31.114
2026-03-17T08:44:05.217Z,31.554,32.655,35.561,31.349,31.114
2026-03-17T08:44:05.725Z,31.554,32.655,35.561,31.349,31.114
2026-03-17T08:44:06.238Z,31.557,32.697,35.342,31.346,31.128
2026-03-17T08:44:06.752Z,31.557,32.697,35.342,31.346,31.128
2026-03-17T08:44:07.263Z,31.557,32.697,35.342,31.346,31.128
2026-03-17T08:44:07.777Z,31.557,32.697,35.342,31.346,31.128
2026-03-17T08:44:08.287Z,31.567,32.734,35.274,31.346,31.128
2026-03-17T08:44:08.8Z,31.567,32.734,35.274,31.346,31.128
2026-03-17T08:44:09.375Z,31.567,32.734,35.274,31.346,31.128
2026-03-17T08:44:09.925Z,31.559,32.776,35.585,31.367,31.154
2026-03-17T08:44:10.435Z,31.559,32.776,35.585,31.367,31.154
2026-03-17T08:44:10.954Z,31.559,32.776,35.585,31.367,31.154
2026-03-17T08:44:11.463Z,31.559,32.776,35.585,31.367,31.154
2026-03-17T08:44:11.974Z,31.562,32.813,35.9,31.378,31.154
2026-03-17T08:44:12.485Z,31.562,32.813,35.9,31.378,31.154
2026-03-17T08:44:12.996Z,31.562,32.813,35.9,31.378,31.154
2026-03-17T08:44:13.511Z,31.562,32.813,35.9,31.378,31.154
2026-03-17T08:44:14.022Z,31.565,32.922,35.741,31.367,31.172
2026-03-17T08:44:14.534Z,31.565,32.922,35.741,31.367,31.172
2026-03-17T08:44:15.042Z,31.565,32.922,35.741,31.367,31.172
2026-03-17T08:44:15.558Z,31.565,32.922,35.741,31.367,31.172
2026-03-17T08:44:16.069Z,31.557,32.953,35.624,31.378,31.143
2026-03-17T08:44:16.579Z,31.557,32.953,35.624,31.378,31.143
2026-03-17T08:44:17.103Z,31.557,32.953,35.624,31.378,31.143
2026-03-17T08:44:17.702Z,31.557,32.953,35.624,31.378,31.143
2026-03-17T08:44:18.276Z,31.559,33.006,35.444,31.365,31.157
2026-03-17T08:44:18.832Z,31.559,33.006,35.444,31.365,31.157
2026-03-17T08:44:19.344Z,31.559,33.006,35.444,31.365,31.157
2026-03-17T08:44:19.856Z,31.559,33.006,35.444,31.365,31.157
2026-03-17T08:44:20.371Z,31.549,33.059,35.498,31.38,31.157
2026-03-17T08:44:20.881Z,31.549,33.059,35.498,31.38,31.157
2026-03-17T08:44:21.395Z,31.549,33.059,35.498,31.38,31.157
2026-03-17T08:44:21.964Z,31.549,33.059,35.498,31.38,31.157
2026-03-17T08:44:22.493Z,31.57,33.093,35.527,31.391,31.159
2026-03-17T08:44:23.059Z,31.57,33.093,35.527,31.391,31.159
2026-03-17T08:44:23.64Z,31.57,33.093,35.527,31.391,31.159
2026-03-17T08:44:24.159Z,31.57,33.093,35.527,31.391,31.159
2026-03-17T08:44:24.67Z,31.554,33.149,35.467,31.394,31.135
2026-03-17T08:44:25.179Z,31.554,33.149,35.467,31.394,31.135
2026-03-17T08:44:25.693Z,31.554,33.149,35.467,31.394,31.135
2026-03-17T08:44:26.205Z,31.554,33.149,35.467,31.394,31.135
2026-03-17T08:44:26.718Z,31.565,33.204,35.812,31.399,31.17
2026-03-17T08:44:27.23Z,31.565,33.204,35.812,31.399,31.17
